sku_num,sku_pos,sku_erp,product_name,pos_erp_link_source,store_id,channel,units_net,revenue_mxn,cost_mxn,margin_mxn,margin_pct,margin_mxn_if_price_includes_iva,sale_lines_below_cost,sale_lines
44,CN-00044,ERP-PROV-MX-044-A,Filtros Mercancia,explicito,T006,fisico,33.0,8193.29,5607.57,2585.72,31.56,1455.61,0,28
31,CN-00031,ERP-PROV-MX-031-A,Termo Mercancia,inferido,T037,fisico,55.0,29532.68,12940.9,16591.78,56.18,12518.31,0,31
29,CN-00029,ERP-PROV-MX-029-C,Termo Mercancia,explicito,T014,fisico,46.0,28679.65,14393.48,14286.17,49.81,10330.36,0,25
42,CN-00042,ERP-PROV-MX-042-A,Quiche Comida Caliente,explicito,T018,fisico,64.0,5605.82,2545.96,3059.86,54.58,2286.64,0,37
25,CN-00025,ERP-PROV-MX-025-C,Latte Bebidas,explicito,T020,fisico,49.0,2417.12,774.45,1642.67,67.96,1309.27,0,28
64,CN-00064,ERP-PROV-MX-064-C,Frappé Bebidas,explicito,T036,fisico,40.0,3396.8,1228.45,2168.35,63.84,1699.83,0,28
1,CN-00001,ERP-PROV-MX-001-A,Sándwich Comida Caliente,inferido,T016,fisico,47.0,3504.41,3956.65,-452.24,-12.9,-935.61,36,36
35,CN-00035,ERP-PROV-MX-035-A,Sándwich Comida Caliente,explicito,T030,fisico,65.0,9065.04,6116.14,2948.9,32.53,1698.55,0,41
22,CN-00022,ERP-PROV-MX-022-A,Ensalada Comida Caliente,explicito,T027,fisico,35.0,5899.6,3370.17,2529.43,42.87,1715.69,0,24
24,CN-00024,ERP-PROV-MX-024-A,Americano Cafe Molido,explicito,T029,fisico,33.0,10727.5,7001.45,3726.05,34.73,2246.39,0,25
29,CN-00029,ERP-PROV-MX-029-C,Termo Mercancia,explicito,T029,fisico,35.0,21649.45,10734.36,10915.09,50.42,7928.96,0,29
25,CN-00025,ERP-PROV-MX-025-C,Latte Bebidas,explicito,T019,fisico,31.0,1509.03,490.19,1018.84,67.52,810.7,0,27
27,CN-00027,ERP-PROV-MX-027-B,Latte Bebidas,explicito,T006,fisico,32.0,2884.55,1022.56,1861.99,64.55,1464.12,0,22
63,CN-00063,ERP-PROV-MX-063-C,Gourmet Cafe Molido,explicito,T014,fisico,53.0,4519.62,2851.84,1667.78,36.9,1044.38,0,33
63,CN-00063,ERP-PROV-MX-063-C,Gourmet Cafe Molido,explicito,T012,fisico,46.0,3931.96,2475.66,1456.3,37.04,913.96,0,31
42,CN-00042,ERP-PROV-MX-042-A,Quiche Comida Caliente,explicito,T010,fisico,57.0,4991.24,2264.46,2726.78,54.63,2038.33,0,33
64,CN-00064,ERP-PROV-MX-064-C,Frappé Bebidas,explicito,T032,fisico,44.0,3752.13,1348.12,2404.01,64.07,1886.47,0,36
45,CN-00045,ERP-PROV-MX-045-D,Especial Cafe Grano,explicito,T022,fisico,44.0,4312.76,2872.23,1440.53,33.4,845.67,0,24
48,CN-00048,ERP-PROV-MX-048-C,Bolillo Panaderia,explicito,T028,fisico,43.0,1069.83,405.12,664.71,62.13,517.15,0,29
22,CN-00022,ERP-PROV-MX-022-A,Ensalada Comida Caliente,explicito,T022,fisico,29.0,4997.23,2788.3,2208.93,44.2,1519.66,0,19
35,CN-00035,ERP-PROV-MX-035-A,Sándwich Comida Caliente,explicito,T033,fisico,37.0,5162.94,3508.31,1654.63,32.05,942.5,0,26
3,CN-00003,ERP-PROV-MX-003-D,Filtros Mercancia,explicito,T028,fisico,53.0,8611.83,4015.01,4596.82,53.38,3408.98,0,29
64,CN-00064,ERP-PROV-MX-064-C,Frappé Bebidas,explicito,T027,fisico,47.0,3968.32,1450.85,2517.47,63.44,1970.12,0,31
64,CN-00064,ERP-PROV-MX-064-C,Frappé Bebidas,explicito,T033,fisico,40.0,3362.95,1218.75,2144.2,63.76,1680.34,0,28
25,CN-00025,ERP-PROV-MX-025-C,Latte Bebidas,explicito,T022,fisico,29.0,1424.63,462.17,962.46,67.56,765.96,0,20
29,CN-00029,ERP-PROV-MX-029-C,Termo Mercancia,explicito,T019,fisico,42.0,26142.66,12944.87,13197.79,50.48,9591.91,0,32
38,CN-00038,ERP-PROV-MX-038-A,Selección Cafe Grano,explicito,T031,fisico,53.0,17901.88,12350.56,5551.32,31.01,3082.1,0,38
64,CN-00064,ERP-PROV-MX-064-C,Frappé Bebidas,explicito,T006,fisico,51.0,4308.91,1572.35,2736.56,63.51,2142.23,0,33
21,CN-00021,ERP-PROV-MX-021-A,Concha Panaderia,inferido,T035,fisico,49.0,1270.16,557.44,712.72,56.11,537.53,0,33
8,CN-00008,ERP-PROV-MX-008-C,Empanada Panaderia,explicito,T039,fisico,50.0,1939.81,1048.89,890.92,45.93,623.36,0,34
65,CN-00065,ERP-PROV-MX-065-D,Estándar Cafe Molido,explicito,T026,fisico,41.0,8292.17,4206.37,4085.8,49.27,2942.05,0,29
65,CN-00065,ERP-PROV-MX-065-D,Estándar Cafe Molido,explicito,T009,fisico,44.0,8864.74,4516.14,4348.6,49.06,3125.88,0,39
32,CN-00032,ERP-PROV-MX-032-D,Americano Cafe Grano,explicito,T017,fisico,25.0,2508.76,1209.3,1299.46,51.8,953.42,0,23
68,CN-00068,ERP-PROV-MX-068-C,Croissant Panaderia,explicito,T008,fisico,36.0,1414.6,558.86,855.74,60.49,660.62,0,27
47,CN-00047,ERP-PROV-MX-047-B,Filtros Mercancia,explicito,T018,fisico,46.0,22901.67,14630.18,8271.49,36.12,5112.64,0,34
56,CN-00056,ERP-PROV-MX-056-C,Empanada Panaderia,explicito,T036,fisico,40.0,659.1,317.15,341.95,51.88,251.04,0,23
7,CN-00007,ERP-PROV-MX-007-D,Selección Cafe Grano,explicito,T025,fisico,36.0,9135.3,7198.64,1936.66,21.2,676.62,0,28
68,CN-00068,ERP-PROV-MX-068-C,Croissant Panaderia,explicito,T036,fisico,52.0,2044.84,798.04,1246.8,60.97,964.75,0,33
9,CN-00009,ERP-PROV-MX-009-B,Termo Mercancia,explicito,T004,fisico,53.0,32853.95,14112.48,18741.47,57.04,14209.89,0,32
47,CN-00047,ERP-PROV-MX-047-B,Filtros Mercancia,explicito,T034,fisico,44.0,21718.98,14070.79,7648.19,35.21,4652.47,0,30
17,CN-00017,ERP-PROV-MX-017-B,Quiche Comida Caliente,explicito,T025,fisico,30.0,4769.9,2400.02,2369.88,49.68,1711.96,0,22
56,CN-00056,ERP-PROV-MX-056-C,Empanada Panaderia,explicito,T020,fisico,47.0,766.13,368.71,397.42,51.87,291.75,0,31
20,CN-00020,ERP-PROV-MX-020-C,Taza Mercancia,explicito,T019,fisico,71.0,42765.15,17942.55,24822.6,58.04,18923.96,0,41
52,CN-00052,ERP-PROV-MX-052-C,Americano Cafe Molido,explicito,T026,fisico,29.0,4892.79,3298.67,1594.12,32.58,919.25,0,23
32,CN-00032,ERP-PROV-MX-032-D,Americano Cafe Grano,explicito,T035,fisico,48.0,4794.79,2318.17,2476.62,51.65,1815.27,0,35
70,CN-00070,ERP-PROV-MX-070-D,Molinillo Mercancia,explicito,T040,fisico,43.0,16090.24,10389.84,5700.4,35.43,3481.06,0,30
32,CN-00032,ERP-PROV-MX-032-D,Americano Cafe Grano,explicito,T019,fisico,54.0,5424.52,2571.17,2853.35,52.6,2105.14,0,31
34,CN-00034,ERP-PROV-MX-034-D,Estándar Cafe Molido,explicito,T004,fisico,61.0,6624.61,3923.51,2701.1,40.77,1787.36,0,33
53,CN-00053,ERP-PROV-MX-053-A,Sándwich Comida Caliente,explicito,T023,fisico,67.0,9422.81,5251.28,4171.53,44.27,2871.83,0,38
59,CN-00059,ERP-PROV-MX-059-B,Orgánico Cafe Grano,explicito,T002,fisico,39.0,9958.22,7026.78,2931.44,29.44,1557.89,0,27
41,CN-00041,ERP-PROV-MX-041-D,Gourmet Cafe Molido,inferido,T003,fisico,37.0,2892.18,1641.83,1250.35,43.23,851.43,0,26
5,CN-00005,ERP-PROV-MX-005-C,Croissant Panaderia,explicito,T037,fisico,43.0,874.64,551.3,323.34,36.97,202.7,0,29
62,CN-00062,ERP-PROV-MX-062-B,Wrap Comida Caliente,explicito,T027,fisico,55.0,8948.62,4171.64,4776.98,53.38,3542.69,0,35
13,CN-00013,ERP-PROV-MX-013-B,Selección Cafe Molido,explicito,T010,fisico,34.0,6814.72,4690.94,2123.78,31.16,1183.82,0,26
37,CN-00037,ERP-PROV-MX-037-C,Tradicional Cafe Molido,explicito,T020,fisico,55.0,12438.54,6704.57,5733.97,46.1,4018.31,0,34
12,CN-00012,ERP-PROV-MX-012-B,Sándwich Comida Caliente,explicito,T003,fisico,42.0,5621.93,2350.82,3271.11,58.18,2495.67,0,29
30,CN-00030,ERP-PROV-MX-030-C,Molinillo Mercancia,explicito,T030,fisico,38.0,8684.49,4217.03,4467.46,51.44,3269.6,0,28
67,CN-00067,ERP-PROV-MX-067-C,Premium Cafe Molido,explicito,T023,fisico,64.0,18632.39,10408.65,8223.74,44.14,5653.76,0,29
5,CN-00005,ERP-PROV-MX-005-C,Croissant Panaderia,explicito,T012,fisico,31.0,634.69,401.87,232.82,36.68,145.28,0,26
33,CN-00033,ERP-PROV-MX-033-D,Especial Cafe Molido,explicito,T023,fisico,54.0,14264.94,8515.75,5749.19,40.3,3781.61,0,34
46,CN-00046,ERP-PROV-MX-046-A,Termo Mercancia,inferido,T031,fisico,44.0,23496.62,10305.67,13190.95,56.14,9950.04,0,37
43,CN-00043,ERP-PROV-MX-043-A,Filtros Mercancia,explicito,T032,fisico,51.0,9451.1,4489.25,4961.85,52.5,3658.25,0,31
49,CN-00049,ERP-PROV-MX-049-A,Mocha Bebidas,explicito,T003,fisico,69.0,6043.01,2335.7,3707.31,61.35,2873.79,0,38
33,CN-00033,ERP-PROV-MX-033-D,Especial Cafe Molido,explicito,T007,fisico,39.0,10294.88,6157.39,4137.49,40.19,2717.51,0,29
51,CN-00051,ERP-PROV-MX-051-C,Termo Mercancia,explicito,T018,fisico,42.0,20510.81,9838.13,10672.68,52.03,7843.6,0,25
62,CN-00062,ERP-PROV-MX-062-B,Wrap Comida Caliente,explicito,T028,fisico,70.0,11564.74,5400.22,6164.52,53.3,4569.38,0,39
67,CN-00067,ERP-PROV-MX-067-C,Premium Cafe Molido,explicito,T035,fisico,64.0,18650.68,10437.62,8213.06,44.04,5640.55,0,36
69,CN-00069,ERP-PROV-MX-069-C,Estándar Cafe Grano,explicito,T031,fisico,39.0,14196.9,7587.88,6609.02,46.55,4650.83,0,27
6,CN-00006,ERP-PROV-MX-006-C,Estándar Cafe Grano,inferido,T040,fisico,44.0,8893.18,4575.39,4317.79,48.55,3091.14,0,30
54,CN-00054,ERP-PROV-MX-054-B,Espresso Cafe Molido,explicito,T010,fisico,48.0,5417.84,2738.75,2679.09,49.45,1931.8,0,31
46,CN-00046,ERP-PROV-MX-046-A,Termo Mercancia,inferido,T038,fisico,51.0,27064.9,12066.48,14998.42,55.42,11265.33,0,32
51,CN-00051,ERP-PROV-MX-051-C,Termo Mercancia,explicito,T010,fisico,41.0,19721.05,9722.17,9998.88,50.7,7278.74,0,24
34,CN-00034,ERP-PROV-MX-034-D,Estándar Cafe Molido,explicito,T009,fisico,34.0,3696.62,2188.59,1508.03,40.79,998.15,0,24
14,CN-00014,ERP-PROV-MX-014-D,Descafeinado Cafe Grano,explicito,T033,fisico,34.0,11697.97,7188.96,4509.01,38.55,2895.5,0,26
54,CN-00054,ERP-PROV-MX-054-B,Espresso Cafe Molido,explicito,T038,fisico,30.0,3474.96,1684.64,1790.32,51.52,1311.02,0,22
2,CN-00002,ERP-PROV-MX-002-B,Sándwich Comida Caliente,explicito,T039,fisico,34.0,4514.28,5753.95,-1239.67,-27.46,-1862.33,29,29
30,CN-00030,ERP-PROV-MX-030-C,Molinillo Mercancia,explicito,T001,fisico,29.0,6549.7,3247.49,3302.21,50.42,2398.8,0,22
43,CN-00043,ERP-PROV-MX-043-A,Filtros Mercancia,explicito,T023,fisico,35.0,6481.14,3054.4,3426.74,52.87,2532.79,0,22
69,CN-00069,ERP-PROV-MX-069-C,Estándar Cafe Grano,explicito,T001,fisico,55.0,19965.87,10669.72,9296.15,46.56,6542.24,0,42
46,CN-00046,ERP-PROV-MX-046-A,Termo Mercancia,inferido,T007,fisico,42.0,22439.2,9861.63,12577.57,56.05,9482.51,0,26
54,CN-00054,ERP-PROV-MX-054-B,Espresso Cafe Molido,explicito,T016,fisico,55.0,6325.1,3178.45,3146.65,49.75,2274.22,0,27
46,CN-00046,ERP-PROV-MX-046-A,Termo Mercancia,inferido,T004,fisico,79.0,42093.15,18800.91,23292.24,55.33,17486.29,0,37
6,CN-00006,ERP-PROV-MX-006-C,Estándar Cafe Grano,inferido,T028,fisico,50.0,10031.64,5239.29,4792.35,47.77,3408.68,0,24
41,CN-00041,ERP-PROV-MX-041-D,Gourmet Cafe Molido,inferido,T033,fisico,43.0,3368.96,1905.15,1463.81,43.45,999.13,0,30
57,CN-00057,ERP-PROV-MX-057-C,Premium Cafe Grano,explicito,T040,fisico,48.0,8971.64,4441.55,4530.09,50.49,3292.62,0,33
55,CN-00055,ERP-PROV-MX-055-C,Termo Mercancia,explicito,T021,fisico,31.0,19646.1,9010.6,10635.5,54.14,7925.69,0,25
15,CN-00015,ERP-PROV-MX-015-D,Especial Cafe Molido,explicito,T029,fisico,58.0,21022.03,27587.08,-6565.05,-31.23,-9464.64,31,31
48,CN-00048,ERP-PROV-MX-048-C,Bolillo Panaderia,explicito,T002,fisico,50.0,1230.77,475.44,755.33,61.37,585.57,0,39
21,CN-00021,ERP-PROV-MX-021-A,Concha Panaderia,inferido,T019,fisico,54.0,1368.05,617.92,750.13,54.83,561.43,0,32
45,CN-00045,ERP-PROV-MX-045-D,Especial Cafe Grano,explicito,T005,fisico,55.0,5416.29,3592.11,1824.18,33.68,1077.11,0,26
42,CN-00042,ERP-PROV-MX-042-A,Quiche Comida Caliente,explicito,T003,fisico,53.0,4665.41,2099.94,2565.47,54.99,1921.97,0,40
60,CN-00060,ERP-PROV-MX-060-A,Espresso Cafe Grano,explicito,T012,fisico,54.0,10573.73,6806.27,3767.46,35.63,2309.01,0,32
38,CN-00038,ERP-PROV-MX-038-A,Selección Cafe Grano,explicito,T026,fisico,51.0,17493.19,12063.84,5429.35,31.04,3016.5,0,25
60,CN-00060,ERP-PROV-MX-060-A,Espresso Cafe Grano,explicito,T026,fisico,63.0,12385.47,7927.09,4458.38,36.0,2750.04,0,39
15,CN-00015,ERP-PROV-MX-015-D,Especial Cafe Molido,explicito,T032,fisico,58.0,21245.09,27375.6,-6130.51,-28.86,-9060.87,35,35
1,CN-00001,ERP-PROV-MX-001-A,Sándwich Comida Caliente,inferido,T008,fisico,33.0,2480.98,2780.65,-299.67,-12.08,-641.87,25,25
15,CN-00015,ERP-PROV-MX-015-D,Especial Cafe Molido,explicito,T035,fisico,49.0,17532.2,23124.66,-5592.46,-31.9,-8010.69,31,31
21,CN-00021,ERP-PROV-MX-021-A,Concha Panaderia,inferido,T009,fisico,44.0,1127.08,506.21,620.87,55.09,465.41,0,35
42,CN-00042,ERP-PROV-MX-042-A,Quiche Comida Caliente,explicito,T015,fisico,28.0,2483.78,1104.14,1379.64,55.55,1037.05,0,22
44,CN-00044,ERP-PROV-MX-044-A,Filtros Mercancia,explicito,T031,fisico,35.0,8711.91,5983.58,2728.33,31.32,1526.69,0,28
31,CN-00031,ERP-PROV-MX-031-A,Termo Mercancia,inferido,T031,fisico,46.0,25008.97,10639.04,14369.93,57.46,10920.42,0,29
1,CN-00001,ERP-PROV-MX-001-A,Sándwich Comida Caliente,inferido,T014,fisico,38.0,2837.17,3192.0,-354.83,-12.51,-746.16,28,28
3,CN-00003,ERP-PROV-MX-003-D,Filtros Mercancia,explicito,T034,fisico,31.0,4981.24,2356.12,2625.12,52.7,1938.05,0,28
16,CN-00016,ERP-PROV-MX-016-C,Quiche Comida Caliente,inferido,T034,fisico,41.0,3519.82,1777.55,1742.27,49.5,1256.78,0,25
9,CN-00009,ERP-PROV-MX-009-B,Termo Mercancia,explicito,T040,fisico,51.0,31702.28,13566.5,18135.78,57.21,13763.05,0,34
32,CN-00032,ERP-PROV-MX-032-D,Americano Cafe Grano,explicito,T024,fisico,46.0,4608.45,2218.73,2389.72,51.86,1754.07,0,30
7,CN-00007,ERP-PROV-MX-007-D,Selección Cafe Grano,explicito,T026,fisico,42.0,10670.45,8476.42,2194.03,20.56,722.24,0,28
70,CN-00070,ERP-PROV-MX-070-D,Molinillo Mercancia,explicito,T012,fisico,53.0,19765.26,12282.01,7483.25,37.86,4757.01,0,39
19,CN-00019,ERP-PROV-MX-019-D,Gourmet Cafe Molido,explicito,T039,fisico,45.0,12230.88,6608.63,5622.25,45.97,3935.23,0,38
16,CN-00016,ERP-PROV-MX-016-C,Quiche Comida Caliente,inferido,T013,fisico,31.0,2700.45,1361.71,1338.74,49.57,966.26,0,28
28,CN-00028,ERP-PROV-MX-028-D,Selección Cafe Molido,explicito,T025,fisico,55.0,21124.21,11264.06,9860.15,46.68,6946.47,0,36
11,CN-00011,ERP-PROV-MX-011-C,Bolillo Panaderia,inferido,T015,fisico,46.0,1308.61,638.96,669.65,51.17,489.15,0,33
17,CN-00017,ERP-PROV-MX-017-B,Quiche Comida Caliente,explicito,T010,fisico,42.0,6724.01,3365.35,3358.66,49.95,2431.21,0,32
54,CN-00054,ERP-PROV-MX-054-B,Espresso Cafe Molido,explicito,T031,fisico,67.0,7693.37,3864.73,3828.64,49.77,2767.49,0,36
30,CN-00030,ERP-PROV-MX-030-C,Molinillo Mercancia,explicito,T020,fisico,50.0,11344.44,5613.4,5731.04,50.52,4166.29,0,29
14,CN-00014,ERP-PROV-MX-014-D,Descafeinado Cafe Grano,explicito,T019,fisico,30.0,10400.28,6379.56,4020.72,38.66,2586.2,0,23
13,CN-00013,ERP-PROV-MX-013-B,Selección Cafe Molido,explicito,T024,fisico,69.0,13812.65,9568.19,4244.46,30.73,2339.27,0,34
51,CN-00051,ERP-PROV-MX-051-C,Termo Mercancia,explicito,T014,fisico,36.0,17435.04,8337.2,9097.84,52.18,6693.01,0,25
41,CN-00041,ERP-PROV-MX-041-D,Gourmet Cafe Molido,inferido,T024,fisico,49.0,3805.87,2178.26,1627.61,42.77,1102.66,0,41
2,CN-00002,ERP-PROV-MX-002-B,Sándwich Comida Caliente,explicito,T035,fisico,40.0,5300.31,6755.93,-1455.62,-27.46,-2186.7,31,31
59,CN-00059,ERP-PROV-MX-059-B,Orgánico Cafe Grano,explicito,T039,fisico,46.0,11681.59,8239.26,3442.33,29.47,1831.08,0,28
53,CN-00053,ERP-PROV-MX-053-A,Sándwich Comida Caliente,explicito,T037,fisico,58.0,8048.65,4645.95,3402.7,42.28,2292.54,0,43
55,CN-00055,ERP-PROV-MX-055-C,Termo Mercancia,explicito,T006,fisico,47.0,29427.29,13655.14,15772.15,53.6,11713.21,0,34
29,CN-00029,ERP-PROV-MX-029-C,Termo Mercancia,explicito,T011,fisico,40.0,24728.62,12408.0,12320.62,49.82,8909.78,0,27
18,CN-00018,ERP-PROV-MX-018-A,Tradicional Cafe Molido,explicito,T003,fisico,35.0,8336.97,4546.28,3790.69,45.47,2640.76,0,24
21,CN-00021,ERP-PROV-MX-021-A,Concha Panaderia,inferido,T034,fisico,31.0,789.38,353.95,435.43,55.16,326.55,0,24
38,CN-00038,ERP-PROV-MX-038-A,Selección Cafe Grano,explicito,T006,fisico,62.0,21104.19,14658.16,6446.03,30.54,3535.11,0,34
1,CN-00001,ERP-PROV-MX-001-A,Sándwich Comida Caliente,inferido,T030,fisico,30.0,2255.93,2518.23,-262.3,-11.63,-573.46,21,21
23,CN-00023,ERP-PROV-MX-023-B,Ensalada Comida Caliente,explicito,T025,fisico,54.0,8535.8,4231.06,4304.74,50.43,3127.39,0,38
44,CN-00044,ERP-PROV-MX-044-A,Filtros Mercancia,explicito,T038,fisico,29.0,7368.03,4945.64,2422.39,32.88,1406.11,0,22
36,CN-00036,ERP-PROV-MX-036-A,Gourmet Cafe Grano,inferido,T038,fisico,46.0,14417.86,8684.79,5733.07,39.76,3744.4,0,29
31,CN-00031,ERP-PROV-MX-031-A,Termo Mercancia,inferido,T017,fisico,31.0,16703.36,7267.18,9436.18,56.49,7132.27,0,24
44,CN-00044,ERP-PROV-MX-044-A,Filtros Mercancia,explicito,T034,fisico,45.0,11237.29,7678.05,3559.24,31.67,2009.27,0,32
23,CN-00023,ERP-PROV-MX-023-B,Ensalada Comida Caliente,explicito,T019,fisico,42.0,6591.41,3366.92,3224.49,48.92,2315.33,0,24
11,CN-00011,ERP-PROV-MX-011-C,Bolillo Panaderia,inferido,T001,fisico,56.0,1590.89,761.23,829.66,52.15,610.23,0,40
8,CN-00008,ERP-PROV-MX-008-C,Empanada Panaderia,explicito,T032,fisico,58.0,2214.48,1223.58,990.9,44.75,685.45,0,34
66,CN-00066,ERP-PROV-MX-066-B,Mocha Bebidas,explicito,T017,fisico,38.0,2205.24,788.96,1416.28,64.22,1112.11,0,27
32,CN-00032,ERP-PROV-MX-032-D,Americano Cafe Grano,explicito,T037,fisico,36.0,3560.61,1719.13,1841.48,51.72,1350.36,0,28
40,CN-00040,ERP-PROV-MX-040-A,Chocolate Bebidas,explicito,T021,fisico,22.0,1190.41,376.98,813.43,68.33,649.24,0,21
28,CN-00028,ERP-PROV-MX-028-D,Selección Cafe Molido,explicito,T030,fisico,22.0,8379.15,4527.28,3851.87,45.97,2696.13,0,17
67,CN-00067,ERP-PROV-MX-067-C,Premium Cafe Molido,explicito,T017,fisico,31.0,8998.76,5011.72,3987.04,44.31,2745.83,0,18
57,CN-00057,ERP-PROV-MX-057-C,Premium Cafe Grano,explicito,T026,fisico,66.0,12353.99,5985.75,6368.24,51.55,4664.24,0,38
5,CN-00005,ERP-PROV-MX-005-C,Croissant Panaderia,explicito,T006,fisico,42.0,860.57,550.79,309.78,36.0,191.08,0,30
62,CN-00062,ERP-PROV-MX-062-B,Wrap Comida Caliente,explicito,T031,fisico,35.0,5799.47,2650.34,3149.13,54.3,2349.2,0,28
33,CN-00033,ERP-PROV-MX-033-D,Especial Cafe Molido,explicito,T014,fisico,41.0,10869.36,6431.29,4438.07,40.83,2938.85,0,22
3,CN-00003,ERP-PROV-MX-003-D,Filtros Mercancia,explicito,T007,fisico,45.0,7238.63,3419.7,3818.93,52.76,2820.5,0,29
10,CN-00010,ERP-PROV-MX-010-D,Descafeinado Cafe Grano,explicito,T039,fisico,36.0,12879.16,6248.15,6631.01,51.49,4854.57,0,21
8,CN-00008,ERP-PROV-MX-008-C,Empanada Panaderia,explicito,T018,fisico,38.0,1451.69,796.2,655.49,45.15,455.26,0,21
63,CN-00063,ERP-PROV-MX-063-C,Gourmet Cafe Molido,explicito,T017,fisico,45.0,3825.49,2411.84,1413.65,36.95,886.0,0,27
24,CN-00024,ERP-PROV-MX-024-A,Americano Cafe Molido,explicito,T020,fisico,54.0,17575.8,11274.1,6301.7,35.85,3877.45,0,30
32,CN-00032,ERP-PROV-MX-032-D,Americano Cafe Grano,explicito,T033,fisico,51.0,5090.62,2403.39,2687.23,52.79,1985.08,0,36
41,CN-00041,ERP-PROV-MX-041-D,Gourmet Cafe Molido,inferido,T035,fisico,54.0,4149.44,2370.65,1778.79,42.87,1206.45,0,28
67,CN-00067,ERP-PROV-MX-067-C,Premium Cafe Molido,explicito,T031,fisico,27.0,7869.06,4505.76,3363.3,42.74,2277.91,0,22
61,CN-00061,ERP-PROV-MX-061-D,Descafeinado Cafe Molido,explicito,T029,fisico,35.0,10242.06,5815.67,4426.39,43.22,3013.69,0,26
4,CN-00004,ERP-PROV-MX-004-B,Prensa Francesa Mercancia,explicito,T001,fisico,41.0,28349.76,10763.52,17586.24,62.03,13675.93,0,26
4,CN-00004,ERP-PROV-MX-004-B,Prensa Francesa Mercancia,explicito,T033,fisico,50.0,34351.85,13327.02,21024.83,61.2,16286.64,0,34
59,CN-00059,ERP-PROV-MX-059-B,Orgánico Cafe Grano,explicito,T009,fisico,59.0,15147.15,10653.7,4493.45,29.67,2404.19,0,33
34,CN-00034,ERP-PROV-MX-034-D,Estándar Cafe Molido,explicito,T022,fisico,45.0,4864.9,2880.47,1984.43,40.79,1313.41,0,30
35,CN-00035,ERP-PROV-MX-035-A,Sándwich Comida Caliente,explicito,T008,fisico,52.0,7287.39,4971.2,2316.19,31.78,1311.03,0,35
35,CN-00035,ERP-PROV-MX-035-A,Sándwich Comida Caliente,explicito,T002,fisico,46.0,6468.0,4325.78,2142.22,33.12,1250.08,0,30
35,CN-00035,ERP-PROV-MX-035-A,Sándwich Comida Caliente,explicito,T012,fisico,33.0,4618.17,3145.77,1472.4,31.88,835.41,0,22
22,CN-00022,ERP-PROV-MX-022-A,Ensalada Comida Caliente,explicito,T003,fisico,41.0,6996.56,3939.89,3056.67,43.69,2091.63,0,29
32,CN-00032,ERP-PROV-MX-032-D,Americano Cafe Grano,explicito,T008,fisico,48.0,4796.23,2241.43,2554.8,53.27,1893.25,0,27
11,CN-00011,ERP-PROV-MX-011-C,Bolillo Panaderia,inferido,T028,fisico,39.0,1100.76,558.53,542.23,49.26,390.4,0,28
47,CN-00047,ERP-PROV-MX-047-B,Filtros Mercancia,explicito,T032,fisico,34.0,16961.37,10874.21,6087.16,35.89,3747.66,0,26
43,CN-00043,ERP-PROV-MX-043-A,Filtros Mercancia,explicito,T006,fisico,35.0,6578.33,3035.4,3542.93,53.86,2635.57,0,25
36,CN-00036,ERP-PROV-MX-036-A,Gourmet Cafe Grano,inferido,T019,fisico,41.0,12964.94,7703.49,5261.45,40.58,3473.18,0,27
